nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,MMM
Earlwood,2206,NSW,Earlwood,Earlwood,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Newstead,4006,QLD,Bowen Hills,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,1
Ambarvale,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,1
Waverton,2060,NSW,North Sydney,North Sydney - Lavender Bay,North Sydney - Mosman,Sydney - North Sydney and Hornsby,1
Lindisfarne,7015,TAS,Risdon,Risdon Vale,Hobart - North East,Hobart,2
Robina,4226,QLD,Robina,Robina - West,Robina,Gold Coast,1
Yarrawarrah,2233,NSW,Woronora Heights,Woronora Heights,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
Meadowbank,2114,NSW,Denistone,Denistone,Ryde - Hunters Hill,Sydney - Ryde,1
Eleebana,2282,NSW,Warners Bay,Warners Bay - Boolaroo,Lake Macquarie - East,Newcastle and Lake Macquarie,1
Palmview,4553,QLD,Palmview,Landsborough,Sunshine Coast Hinterland,Sunshine Coast,1
Salamander Bay,2317,NSW,Soldiers Point,Nelson Bay Peninsula,Port Stephens,Hunter Valley exc Newcastle,4
Burleigh Waters,4220,QLD,Varsity Lakes,Varsity Lakes,Robina,Gold Coast,1
Cremorne Point,2090,NSW,Kurraba Point,Neutral Bay - Kirribilli,North Sydney - Mosman,Sydney - North Sydney and Hornsby,1
Fig Tree Pocket,4069,QLD,Pullenvale,Pinjarra Hills - Pullenvale,Ipswich Inner,Ipswich,1
Elanora Heights,2101,NSW,Narrabeen,Narrabeen - Wheeler Heights,Warringah,Sydney - Northern Beaches,1
Shelly Beach,2261,NSW,Tuggerah,Tuggerah - Kangy Angy,Wyong,Central Coast,1
Terranora,2486,NSW,Tweed Heads South,Tweed Heads South,Tweed Valley,Richmond - Tweed,1
Rowan,2650,NSW,Gregadoo,Wagga Wagga Surrounds,Wagga Wagga,Riverina,5
Sherwood,4075,QLD,Oxley (Qld),Oxley (Qld),Forest Lake - Oxley,Ipswich,1
South Ripley,4306,QLD,Ripley,Ripley,Burnett,Wide Bay,1
Doncaster East,3109,VIC,Doncaster East,Doncaster East - South,Manningham - East,Melbourne - Outer East,1
Denistone East,2112,NSW,Ryde,Ryde - South,Ryde - Hunters Hill,Sydney - Ryde,1
Morphett Vale,5162,SA,Woodcroft (SA),Woodcroft,Onkaparinga,Adelaide - South,1
Bondi Beach,2026,NSW,North Bondi,Dover Heights,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Mudgeeraba,4213,QLD,Tallai,Worongary - Tallai,Nerang,Gold Coast,1
Frankston South,3199,VIC,Seaford (Vic.),Seaford (Vic.),Mornington Peninsula,Mornington Peninsula,1
Cronulla,2230,NSW,Woolooware,Woolooware - Burraneer,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
Armstrong Creek,3217,VIC,Connewarre,Barwon Heads - Armstrong Creek,Geelong,Geelong,1
Ipswich,4300,QLD,Bellbird Park,Bellbird Park,Springfield - Redbank,Ipswich,1
Box Hill,2765,NSW,Berkshire Park,Yarramundi - Londonderry,Richmond - Windsor,Sydney - Outer West and Blue Mountains,1
Elwood,3184,VIC,St Kilda (Vic.),St Kilda - West,Port Phillip,Melbourne - Inner,1
Bellevue Hill,2023,NSW,Bellevue Hill,Bellevue Hill,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Wetherill Park,2164,NSW,Wetherill Park,Wetherill Park Industrial,Fairfield,Sydney - South West,1
Clyde,3978,VIC,Clyde (Vic.),Cranbourne East - South,Casey - South,Melbourne - South East,1
Vermont,3133,VIC,Vermont South,Vermont South,Whitehorse - East,Melbourne - Outer East,1
Altona,3018,VIC,Altona (Vic.),Altona,Hobsons Bay,Melbourne - West,1
Alphington,3078,VIC,Fairfield (Vic.),Clifton Hill - Alphington,Yarra,Melbourne - Inner,1
Croydon Park,5008,SA,Croydon Park (SA),The Parks,Port Adelaide - West,Adelaide - West,1
Bonbeach,3196,VIC,Edithvale,Edithvale - Aspendale,Kingston,Melbourne - Inner South,1
Fletcher,2287,NSW,Wallsend,Wallsend - Elermore Vale,Newcastle,Newcastle and Lake Macquarie,1
Westminster,6061,WA,Mirrabooka (WA),Dianella - North,Wanneroo,Perth - North West,1
Carrum Downs,3201,VIC,Carrum Downs,Carrum Downs,Frankston,Mornington Peninsula,1
Wanneroo,6065,WA,Wanneroo,Wanneroo - Sinagra,Wanneroo,Perth - North West,1
Cloverdale,6105,WA,Kewdale,Forrestfield - Wattle Grove,Kalamunda,Perth - South East,1
Dural,2158,NSW,Dural (Hornsby - NSW),Dural - Kenthurst - Wisemans Ferry,Dural - Wisemans Ferry,Sydney - Baulkham Hills and Hawkesbury,1
Goulburn,2580,NSW,Wiarborough,Oberon,Blue Mountains - South,Sydney - Outer West and Blue Mountains,3
Sheidow Park,5158,SA,O'Halloran Hill,Happy Valley,Onkaparinga,Adelaide - South,1
Annandale,2038,NSW,Annandale (NSW),Annandale (NSW),Leichhardt,Sydney - Inner West,1
St Ives,2075,NSW,St Ives (NSW),St Ives,Ku-ring-gai,Sydney - North Sydney and Hornsby,1
Westbrook,4350,QLD,Cranley,Wilsonton,Toowoomba,Toowoomba,2
Gordon,2072,NSW,Gordon (NSW),Gordon - Killara,Ku-ring-gai,Sydney - North Sydney and Hornsby,1
Brighton,4017,QLD,Sandgate (Qld),Sandgate - Shorncliffe,Sandgate,Brisbane - North,1
Sans Souci,2219,NSW,Sans Souci,Sans Souci - Ramsgate,Kogarah - Rockdale,Sydney - Inner South West,1
Southport,4215,QLD,Southport (Qld),Southport - South,Southport,Gold Coast,1
Albany Creek,4035,QLD,Albany Creek,Albany Creek,Hills District,Moreton Bay - South,1
Mooloolaba,4557,QLD,Mooloolaba,Mooloolaba - Alexandra Headland,Maroochy,Sunshine Coast,1
Tolmans Hill,7007,TAS,Mount Nelson,Mount Nelson - Dynnyrne,Hobart Inner,Hobart,2
Molendinar,4214,QLD,Parkwood (Qld),Parkwood,Southport,Gold Coast,1
Wellard,6170,WA,Wellard,Casuarina - Wandi,Kwinana,Perth - South West,1
Bundoora,3083,VIC,Bundoora (Vic.),Bundoora - West,Whittlesea - Wallan,Melbourne - North East,1
Elsternwick,3185,VIC,Elsternwick,Elsternwick,Glen Eira,Melbourne - Inner South,1
Bassendean,6054,WA,Kiara,Lockridge - Kiara,Swan,Perth - North East,1
Surry Hills,2010,NSW,Surry Hills,Surry Hills,Sydney Inner City,Sydney - City and Inner South,1
Tanilba Bay,2319,NSW,Tilligerry Creek,Williamtown - Medowie - Karuah,Port Stephens,Hunter Valley exc Newcastle,5
elwood,3184,VIC,St Kilda (Vic.),St Kilda - West,Port Phillip,Melbourne - Inner,1
Flaxton,4560,QLD,Nambour,Nambour,Sunshine Coast Hinterland,Sunshine Coast,2
Middle Brook,2337,NSW,Woko,Gloucester,Taree - Gloucester,Mid North Coast,4
Parkville,3052,VIC,Parkville (Vic.),Parkville,Melbourne City,Melbourne - Inner,1
Richmond,3121,VIC,Richmond (Vic.),Richmond - North,Yarra,Melbourne - Inner,1
Cleveland,4163,QLD,Ormiston,Ormiston,Cleveland - Stradbroke,Brisbane - East,1
Iluka,6028,WA,Burns Beach,Iluka - Burns Beach,Joondalup,Perth - North West,1
Drouin,3818,VIC,Torwood,Warragul,Baw Baw,Latrobe - Gippsland,4
Ocean Grove,3226,VIC,Ocean Grove,Ocean Grove,Surf Coast - Bellarine Peninsula,Geelong,2
Mosman,2088,NSW,Mosman,Mosman - South,North Sydney - Mosman,Sydney - North Sydney and Hornsby,1
Kings Park,3021,VIC,St Albans (Vic.),St Albans - South,Brimbank,Melbourne - West,1
Curtin,2605,ACT,Hughes (ACT),Hughes,Woden,Australian Capital Territory,1
Stanhope Gardens,2768,NSW,Stanhope Gardens,Stanhope Gardens - Parklea,Blacktown - North,Sydney - Blacktown,1
Margaret River,6285,WA,Scott River East,Pemberton,Augusta - Margaret River - Busselton,Bunbury,4
Spotswood,3015,VIC,Spotswood,Newport,Hobsons Bay,Melbourne - West,1
Balnarring,3926,VIC,Merricks Beach,Hastings - Somers,Mornington Peninsula,Mornington Peninsula,1
Croydon,2132,NSW,Croydon (NSW),Croydon,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Eagle Vale,2558,NSW,Gregory Hills,Claymore - Eagle Vale - Raby,Campbelltown (NSW),Sydney - Outer South West,1
Herberton,4887,QLD,Watsonville,Tablelands,Far North,Queensland - Outback,5
Mount Claremont,6010,WA,Mount Claremont,Swanbourne - Mount Claremont,Cottesloe - Claremont,Perth - Inner,1
Tuerong,3915,VIC,Hastings (Vic.),Hastings - Somers,Mornington Peninsula,Mornington Peninsula,1
St Leonards,2065,NSW,Wollstonecraft,Crows Nest - Waverton,North Sydney - Mosman,Sydney - North Sydney and Hornsby,1
Bangor,2234,NSW,Bangor (NSW),Menai - Lucas Heights - Woronora,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
Dicky Beach,4551,QLD,Meridan Plains,Meridan Plains - Little Mountain (North),Sunshine Coast Hinterland,Sunshine Coast,1
Strathalbyn,5255,SA,Wellington (SA),Murray Bridge Surrounds,Murray and Mallee,South Australia - South East,4
Pacific Paradise,4564,QLD,Twin Waters,Marcoola - Mudjimba,Maroochy,Sunshine Coast,1
South Windsor,2756,NSW,Bligh Park,Windsor - Bligh Park,Richmond - Windsor,Sydney - Outer West and Blue Mountains,1
Quindalup,6281,WA,Dunsborough,Busselton Surrounds,Augusta - Margaret River - Busselton,Bunbury,3
Claremont,7011,TAS,Claremont (Tas.),Claremont (Tas.),Hobart - North West,Hobart,2
Fitzroy North,3068,VIC,Clifton Hill,Clifton Hill - Alphington,Yarra,Melbourne - Inner,1
Bondi,2026,NSW,North Bondi,Dover Heights,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Leichhardt,2040,NSW,Lilyfield,Leichhardt,Leichhardt,Sydney - Inner West,1
Currumbin Valley,4223,QLD,Currumbin Valley,Currumbin Valley - Tallebudgera,Mudgeeraba - Tallebudgera,Gold Coast,1
Caulfield North,3161,VIC,Caulfield North,Caulfield - North,Glen Eira,Melbourne - Inner South,1
Peakhurst,2210,NSW,Penshurst (NSW),Penshurst,Hurstville,Sydney - Inner South West,1
Pearce,2607,ACT,Torrens,Torrens,Woden,Australian Capital Territory,1
Stafford,4053,QLD,Everton Hills,The Hills District,Hills District,Moreton Bay - South,1
Shalvey,2770,NSW,Minchinbury,Rooty Hill - Minchinbury,Mount Druitt,Sydney - Blacktown,1
Labrador,4215,QLD,Southport (Qld),Southport - South,Southport,Gold Coast,1
Prospect,5082,SA,Ovingham,Hindmarsh - Brompton,Charles Sturt,Adelaide - West,1
Thornlands,4164,QLD,Thornlands,Thornlands,Cleveland - Stradbroke,Brisbane - East,1
Cremorne,3121,VIC,Richmond (Vic.),Richmond - North,Yarra,Melbourne - Inner,1
Wodonga,3690,VIC,Wodonga,Wodonga,Wodonga - Alpine,Hume,2
North Kellyville,2155,NSW,Rouse Hill,Schofields - East,Blacktown - North,Sydney - Blacktown,1
Geilston Bay,7015,TAS,Risdon,Risdon Vale,Hobart - North East,Hobart,2
South Hurstville,2221,NSW,South Hurstville,South Hurstville - Blakehurst,Kogarah - Rockdale,Sydney - Inner South West,1
The Ponds,2769,NSW,The Ponds,Schofields - East,Blacktown - North,Sydney - Blacktown,1
Woolloomooloo,2011,NSW,Potts Point,Sydney (North) - Millers Point,Sydney Inner City,Sydney - City and Inner South,1
Camberwell,3124,VIC,Surrey Hills,Surrey Hills (West) - Canterbury,Boroondara,Melbourne - Inner East,1
Reynella,5161,SA,Old Reynella,Reynella,Onkaparinga,Adelaide - South,1
Cranebrook,2749,NSW,Cranebrook,Cranebrook - Castlereagh,Penrith,Sydney - Outer West and Blue Mountains,1
Belrose,2085,NSW,Davidson,Frenchs Forest - Oxford Falls,Warringah,Sydney - Northern Beaches,1
Lowood,4311,QLD,White Mountain,Lockyer Valley - West,Toowoomba,Toowoomba,5
Balgowlah,2093,NSW,North Balgowlah,Manly Vale - Allambie Heights,Warringah,Sydney - Northern Beaches,1
Ormeau Hills,4208,QLD,Kingsholme,Willow Vale - Pimpama (West),Ormeau - Oxenford,Gold Coast,1
west wyalong,2671,NSW,West Wyalong,West Wyalong,Lachlan Valley,Central West,5
Beaconsfield,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,2
Kallangur,4503,QLD,Petrie,Petrie,Strathpine,Moreton Bay - South,1
Perth,6000,WA,Perth (WA),Perth (West) - Northbridge,Perth City,Perth - Inner,1
Bungendore,2621,NSW,Sutton (NSW),Yass Surrounds,Queanbeyan,Capital Region,5
Mooroolbark,3138,VIC,Mooroolbark,Mooroolbark,Yarra Ranges,Melbourne - Outer East,1
Bayview,2104,NSW,Mona Vale,Mona Vale - Warriewood (North),Pittwater,Sydney - Northern Beaches,1
Karnup,6176,WA,Karnup,Karnup,Rockingham,Perth - South West,1
Nelly Bay,4819,QLD,Horseshoe Bay,Magnetic Island,Townsville,Townsville,5
Bray Park,2484,NSW,Urliup,Tweed Heads,Gold Coast Hinterland,Gold Coast,1
Nudgee,4014,QLD,Nudgee,Nudgee - Banyo,Nundah,Brisbane - North,1
Tingalpa,4173,QLD,Wakerley,Wakerley,Wynnum - Manly,Brisbane - East,1
Rose Bay,2029,NSW,Rose Bay (NSW),Bellevue Hill,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Buderim,4556,QLD,Forest Glen (Qld),Diddillibah - Rosemount,Nambour - Pomona,Sunshine Coast,1
Burwood,3125,VIC,Burwood (Vic.),Ashwood - Chadstone,Monash,Melbourne - South East,1
Glen Huntly,3163,VIC,Glen Huntly,Ormond - Glen Huntly,Glen Eira,Melbourne - Inner South,1
Highton,3216,VIC,Waurn Ponds,Grovedale - Mount Duneed,Surf Coast - Bellarine Peninsula,Geelong,1
Victoria Point,4165,QLD,Victoria Point (Qld),Victoria Point,Cleveland - Stradbroke,Brisbane - East,1
Port Lincoln,5606,SA,Port Lincoln,Port Lincoln,Eyre Peninsula and South West,South Australia - Outback,6
Machine Creek,4695,QLD,Mount Larcom,Gladstone Hinterland,Gladstone - Biloela,Fitzroy,5
Camperdown,2050,NSW,Camperdown (NSW),Camperdown - Darlington,Sydney Inner City,Sydney - City and Inner South,1
Sussex Inlet,2540,NSW,Jervis Bay,Jervis Bay,Jervis Bay,Other Territories,4
Dover Heights,2030,NSW,Watsons Bay,Rose Bay - Vaucluse - Watsons Bay,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Margate,4019,QLD,Margate (Qld),Rothwell - Kippa-Ring,North Lakes,Moreton Bay - South,1
Gundaroo,2620,NSW,ACT Remainder - Rendezvous Creek,Namadgi,Tuggeranong,Australian Capital Territory,5
Beaconsfield,6162,WA,Beaconsfield (WA),Fremantle - South,Fremantle,Perth - South West,1
Thornbury,3071,VIC,Thornbury,Northcote - West,Darebin - South,Melbourne - Inner,1
Cherrybrook,2126,NSW,Cherrybrook,Cherrybrook,Pennant Hills - Epping,Sydney - Ryde,1
Gordon Park,4031,QLD,Wooloowin,Wooloowin - Lutwyche,Brisbane Inner - North,Brisbane Inner City,1
North Ipswich,4305,QLD,Raceview,Ripley,Ipswich Inner,Ipswich,1
Ramsgate Beach,2217,NSW,Kogarah,Bexley - South,Kogarah - Rockdale,Sydney - Inner South West,1
Penguin,7316,TAS,Penguin,Penguin - Sulphur Creek,Burnie - Ulverstone,West and North West,3
Chadstone,3148,VIC,Chadstone,Ashwood - Chadstone,Monash,Melbourne - South East,1
Ferny Grove,4055,QLD,Ferny Hills,The Hills District,Hills District,Moreton Bay - South,1
Glen Iris,3146,VIC,Glen Iris (Vic.),Malvern - Glen Iris,Stonnington - East,Melbourne - Inner South,1
Emu Plains,2750,NSW,Penrith,Cranebrook - Castlereagh,Penrith,Sydney - Outer West and Blue Mountains,1
Boyland,4275,QLD,Tabragalba,Beaudesert,Beaudesert,Logan - Beaudesert,4
Golden Square,3555,VIC,Golden Square,Kangaroo Flat - Golden Square,Bendigo,Bendigo,2
North Willoughby,2068,NSW,Willoughby (NSW),Willoughby,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,1
Craiglie,4877,QLD,Craiglie,Port Douglas,Port Douglas - Daintree,Cairns,5
Pitt Town,2756,NSW,Bligh Park,Windsor - Bligh Park,Richmond - Windsor,Sydney - Outer West and Blue Mountains,1
Benowa,4217,QLD,Surfers Paradise,Surfers Paradise - South,Surfers Paradise,Gold Coast,1
East Killara,2071,NSW,Lindfield,Lindfield - Roseville,Ku-ring-gai,Sydney - North Sydney and Hornsby,1
Ararat,3377,VIC,Wattle Creek,Stawell,Grampians,North West,4
Glen Innes,2370,NSW,Woodstock (Inverell - NSW),Inverell Surrounds - East,Inverell - Tenterfield,New England and North West,4
Wilsonton,4350,QLD,Cranley,Wilsonton,Toowoomba,Toowoomba,2
Mount Warren Park,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,1
Forster,2428,NSW,Tuncurry,Tuncurry,Great Lakes,Mid North Coast,3
Greystanes,2145,NSW,Merrylands,Wentworthville - Westmead,Parramatta,Sydney - Parramatta,1
Rhodes,2138,NSW,Rhodes,Rhodes,Canada Bay,Sydney - Inner West,1
Yandina,4561,QLD,Bridges,Eumundi - Yandina,Nambour - Pomona,Sunshine Coast,2
Beverly Hills,2209,NSW,Penshurst (NSW),Penshurst,Hurstville,Sydney - Inner South West,1
Coorparoo,4151,QLD,Holland Park,Holland Park,Brisbane Inner - East,Brisbane Inner City,1
Payneham,5070,SA,Marden,St Peters - Marden,Port Adelaide - East,Adelaide - North,1
Grovedale,3216,VIC,Waurn Ponds,Grovedale - Mount Duneed,Surf Coast - Bellarine Peninsula,Geelong,1
Ringwood North,3134,VIC,Ringwood North,Ringwood North,Whitehorse - East,Melbourne - Outer East,1
Cabarita,2137,NSW,North Strathfield,Concord West - North Strathfield,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Cannon Hill,4170,QLD,Norman Park,Norman Park,Brisbane Inner - East,Brisbane Inner City,1
Sandringham,3191,VIC,Sandringham (Vic.),Sandringham - Black Rock,Bayside,Melbourne - Inner South,1
Doncaster,3108,VIC,Doncaster East,Doncaster East - South,Whitehorse - West,Melbourne - Inner East,1
Girraween,2145,NSW,Merrylands,Wentworthville - Westmead,Parramatta,Sydney - Parramatta,1
Rye,3941,VIC,Tootgarook,Point Nepean,Mornington Peninsula,Mornington Peninsula,1
Maylands,6051,WA,Maylands (WA),Maylands,Bayswater - Bassendean,Perth - North East,1
Lutwyche,4030,QLD,Wooloowin,Wooloowin - Lutwyche,Brisbane Inner - North,Brisbane Inner City,1
Blackburn,3130,VIC,Blackburn South,Blackburn South,Whitehorse - West,Melbourne - Inner East,1
Elimbah,4516,QLD,Elimbah,Elimbah,Caboolture,Moreton Bay - North,1
Kanimbla,2790,NSW,Wollemi,Wollangambe - Wollemi,Blue Mountains,Sydney - Outer West and Blue Mountains,5
Croydon Park,2133,NSW,Croydon Park (NSW),Croydon Park - Enfield,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Cedar Creek,4520,QLD,Cedar Creek (Moreton Bay - Qld),Samford Valley,Hills District,Moreton Bay - South,2
Kyneton,3444,VIC,Tooborac,Seymour Surrounds,Upper Goulburn Valley,Hume,5
Tallebudgera,4228,QLD,Tallebudgera,Currumbin Valley - Tallebudgera,Mudgeeraba - Tallebudgera,Gold Coast,1
Bronte,2024,NSW,Waverley (NSW),Bondi Junction - Waverly,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Wembley,6014,WA,Wembley,Wembley - West Leederville - Glendalough,Stirling,Perth - North West,1
Woombye,4559,QLD,Woombye,Nambour,Sunshine Coast Hinterland,Sunshine Coast,1
Greendale,3341,VIC,Pentland Hills,Bacchus Marsh,Melton - Bacchus Marsh,Melbourne - West,5
Murwillumbah,2484,NSW,Urliup,Tweed Heads,Gold Coast Hinterland,Gold Coast,1
Erskineville,2043,NSW,Erskineville,Erskineville - Alexandria,Sydney Inner City,Sydney - City and Inner South,1
Rosewood,4340,QLD,Rosewood (Qld),Rosewood,Ipswich Hinterland,Ipswich,2
Lindfield,2070,NSW,Lindfield,Lindfield - Roseville,Ku-ring-gai,Sydney - North Sydney and Hornsby,1
Canterbury,3126,VIC,Canterbury (Vic.),Surrey Hills (West) - Canterbury,Boroondara,Melbourne - Inner East,1
Agnes Banks,2753,NSW,Agnes Banks,Yarramundi - Londonderry,Richmond - Windsor,Sydney - Outer West and Blue Mountains,1
Edgecliff,2027,NSW,Darling Point,Double Bay - Darling Point,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Unley,5061,SA,Unley,Unley - Parkside,Unley,Adelaide - Central and Hills,1
Brooklyn Park,5032,SA,Underdale,Lockleys,West Torrens,Adelaide - West,1
Moorebank,2170,NSW,Prestons,Prestons,Liverpool,Sydney - South West,1
Leumeah,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,1
Rodd Point,2046,NSW,Chiswick,Five Dock - Abbotsford,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Gowrie,2904,ACT,Monash (ACT),Monash,Tuggeranong,Australian Capital Territory,1
Elizabeth South,5112,SA,Hillbank,Elizabeth East,Playford,Adelaide - North,1
Blacktown,2148,NSW,Pemulwuy,Prospect Reservoir,Fairfield,Sydney - South West,1
Bruce,2617,ACT,O'Connor (ACT),O'Connor (ACT),North Canberra,Australian Capital Territory,1
Stoneville,6081,WA,Parkerville,Mundaring,Mundaring,Perth - North East,1
North Isis,4660,QLD,Howard,Burrum - Fraser,Maryborough,Wide Bay,5
Reservoir,3073,VIC,Reservoir (Vic.),Reservoir - South West,Darebin - North,Melbourne - North East,1
Cooee Bay,4703,QLD,Lammermoor,Yeppoon,Rockhampton,Fitzroy,3
Strathfield,2135,NSW,Strathfield (NSW),Strathfield - West,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Newport,3015,VIC,Spotswood,Newport,Hobsons Bay,Melbourne - West,1
Woodlands,6018,WA,Woodlands (WA),Wembley Downs - Churchlands - Woodlands,Stirling,Perth - North West,1
Dulwich Hill,2203,NSW,Dulwich Hill,Dulwich Hill - Lewisham,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Collaroy,2097,NSW,Wheeler Heights,Narrabeen - Wheeler Heights,Warringah,Sydney - Northern Beaches,1
Ardross,6153,WA,Mount Pleasant (WA),Booragoon,Melville,Perth - South West,1
Yokine,6060,WA,Yokine,Yokine - Coolbinia - Menora,Stirling,Perth - North West,1
Waterford,4133,QLD,Waterford West,Waterford West,Loganlea - Carbrook,Logan - Beaudesert,1
Allenby Gardens,5009,SA,Kilkenny,Woodville - Cheltenham,Charles Sturt,Adelaide - West,1
Seddon,3011,VIC,West Footscray,West Footscray - Tottenham,Maribyrnong,Melbourne - West,1
Cannon Valley,4800,QLD,Proserpine,Proserpine,Whitsunday,Mackay,4
Mount Barker,5251,SA,St Ives (SA),Mount Barker Surrounds,Adelaide Hills,Adelaide - Central and Hills,3
Happy Valley,5159,SA,Happy Valley (SA),Happy Valley Reservoir,Onkaparinga,Adelaide - South,1
Carnes Hill,2171,NSW,Prestons,Prestons,Liverpool,Sydney - South West,1
Coburg,3058,VIC,Coburg North,Coburg North,Moreland - North,Melbourne - North West,1
Thornton,2322,NSW,Tarro,Beresfield - Hexham,Newcastle,Newcastle and Lake Macquarie,1
Royal Park,5014,SA,Alberton (SA),Port Adelaide,Port Adelaide - West,Adelaide - West,1
Albert Park,3206,VIC,Melbourne,Albert Park,Port Phillip,Melbourne - Inner,1
Eastgardens,2036,NSW,Matraville,Matraville - Chifley,Eastern Suburbs - South,Sydney - Eastern Suburbs,1
Saint Ives,2075,NSW,St Ives (NSW),St Ives,Ku-ring-gai,Sydney - North Sydney and Hornsby,1
