nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,MMM
Gladesville,2111,NSW,Gladesville,Gladesville - Huntleys Point,Ryde - Hunters Hill,Sydney - Ryde,1
Mitcham,3132,VIC,Mitcham (Vic.),Mitcham (Vic.),Whitehorse - East,Melbourne - Outer East,1
Stanmore,2048,NSW,Stanmore (NSW),Petersham - Stanmore,Leichhardt,Sydney - Inner West,1
Bittern,3918,VIC,Bittern,Hastings - Somers,Mornington Peninsula,Mornington Peninsula,1
Evanston Gardens,5116,SA,Evanston Park,One Tree Hill,Playford,Adelaide - North,1
Allambie Heights,2100,NSW,Oxford Falls,Frenchs Forest - Oxford Falls,Warringah,Sydney - Northern Beaches,1
Chifley,2036,NSW,Matraville,Matraville - Chifley,Eastern Suburbs - South,Sydney - Eastern Suburbs,1
Greensborough,3088,VIC,Greensborough,Plenty - Yarrambat,Nillumbik - Kinglake,Melbourne - North East,1
Ettalong Beach,2257,NSW,Umina Beach,Umina - Booker Bay - Patonga,Gosford,Central Coast,1
Jordan Springs,2747,NSW,Jordan Springs,Jordan Springs - Llandilo,Penrith,Sydney - Outer West and Blue Mountains,1
Alberton,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,1
Eschol Park,2558,NSW,Gregory Hills,Claymore - Eagle Vale - Raby,Campbelltown (NSW),Sydney - Outer South West,1
Watsonia,3087,VIC,Watsonia North,Watsonia,Nillumbik - Kinglake,Melbourne - North East,1
Weir Views,3338,VIC,Wyndham Vale,Wyndham Vale - North,Wyndham,Melbourne - West,1
Camp Mountain,4520,QLD,Cedar Creek (Moreton Bay - Qld),Samford Valley,Hills District,Moreton Bay - South,1
Mulgrave,3170,VIC,Mulgrave (Vic.),Mulgrave,Monash,Melbourne - South East,1
East Geelong,3219,VIC,Newcomb,Newcomb - Moolap,Geelong,Geelong,1
Glenelg North,5045,SA,West Beach (SA),West Beach,West Torrens,Adelaide - West,1
Parkside,5063,SA,Fullarton,Unley - Parkside,Unley,Adelaide - Central and Hills,1
Somerville,3912,VIC,Somerville (Vic.),Somerville,Mornington Peninsula,Mornington Peninsula,1
Gawler Belt,5118,SA,Evanston Park,One Tree Hill,Playford,Adelaide - North,1
Griffith,2680,NSW,Tharbogang,Griffith Surrounds,Griffith - Murrumbidgee (West),Riverina,3
Paralowie,5108,SA,Salisbury North,Salisbury North,Salisbury,Adelaide - North,1
